college_name,fees,established_on,courses_offered,class_timings,cutoff_marks,facilities,location_lat,location_lon
Symbiosis International University,194903,1983,"BBA, B.Sc, MCA",9 AM - 5 PM,74,"Research Centers, Sports Complex, Labs",19.76889639840435,93.33192268101288
SRM Institute of Science and Technology,225633,1958,B.Tech,8 AM - 5 PM,90,"Labs, Hostels",27.943703728258978,86.10733907669491
Manipal University,236292,2001,"MBA, BBA",9 AM - 6 PM,83,"Hostels, Labs, Library",32.51276633683561,70.79962505809227
Anna University,139361,1956,BCA,9 AM - 5 PM,86,"Hostels, Labs, Library, Cafeteria, Sports Complex",29.139643425517082,86.87089956489933
IIM Calcutta,105212,1951,"BBA, B.Tech",10 AM - 6 PM,85,"Hostels, Sports Complex, Research Centers",31.905636653541304,78.99628007349308
Symbiosis International University,53501,1977,"B.Sc, M.Sc, Ph.D",9 AM - 6 PM,92,"Gym, Sports Complex, Hostels, Library",20.087114376131822,72.00561273246953
Indian Institute of Technology Bombay,214332,2016,"B.Sc, B.Tech, MBA",8 AM - 4 PM,94,"Sports Complex, Library, Research Centers, Hostels, Cafeteria",25.04028245301186,94.73154316306619
IIM Ahmedabad,126269,2017,BBA,9 AM - 3 PM,90,"Sports Complex, Research Centers, Labs",28.40824613022353,82.35077675774632
Jadavpur University,272367,1955,"MCA, Ph.D",9 AM - 5 PM,77,"Gym, Labs, Library, Research Centers",8.214242258706124,89.30669313350688
University of Mumbai,132830,1963,"B.Sc, MBA",9 AM - 3 PM,66,"Research Centers, Sports Complex, Labs, Gym, Library",10.750368485776306,85.36281808842759
Indian School of Business,249134,2015,B.Sc,9 AM - 4 PM,88,"Sports Complex, Library, Cafeteria, Gym, Hostels",31.202006673895593,74.88674093769878
Banaras Hindu University,137617,1972,"Ph.D, B.Tech",8 AM - 5 PM,80,"Gym, Labs, Research Centers",24.092011035647996,96.75450597124359
Indian School of Business,88700,1961,"B.Sc, MBA, MBBS",9 AM - 4 PM,74,"Cafeteria, Library, Hostels, Sports Complex",20.946306534230064,84.63916083428839
Anna University,234805,1967,"Ph.D, BCA",10 AM - 6 PM,66,"Labs, Hostels, Sports Complex, Library, Cafeteria",17.548472966028577,87.07515195306216
Delhi University,262819,1998,"MCA, Ph.D, M.Tech",10 AM - 5 PM,81,"Labs, Sports Complex, Library, Cafeteria, Gym",12.107455841090434,68.16609356869499
"Birla Institute of Technology and Science, Pilani",118616,1988,B.Tech,10 AM - 3 PM,95,"Library, Cafeteria",35.73452555058881,93.77762718662889
Xavier School of Management (XLRI),242182,1980,"MBA, M.Sc",9 AM - 4 PM,95,"Hostels, Labs, Library",19.159411970382813,94.79895640055244
Indian Institute of Technology Bombay,76006,2012,B.Sc,10 AM - 5 PM,75,"Sports Complex, Hostels",34.03098755653393,76.32649431132117
